Email,Password,First Name,Last Name,DoB,Phone #,Ethnicity,Address,Insurance,Income,Medication,Education,,1 -->,12th grade or less
jane.roe@email.com,qwerty789,Jane,Roe,1992-10-30,555-987-1234,Hispanic,"8033 Marvon Dr., Farmington, MI 48331",Aetna (a subsidiary of CVS Health),13000,None,1,,,
dave.brown@email.com,dbrown001,Dave,Brown,1988-03-22,555-654-7890,Asian,"7 West Shady Ave., Bismarck, ND 58501",UnitedHealth Group,213000,Lisinopril,4,,,
emily.jones@email.com,ejones99,Emily,Jones,1976-01-18,555-321-6549,White,"7612 Silver Spear Ave., De Pere, WI 54115","Anthem, Inc.",87000,Atorvastatin,6,,,
michael.jordan@email.com,mjordan23,Michael,Jordan,1995-12-15,555-456-7891,African-American,"530 Tanglewood Court, Monroe Township, NJ 08831",Humana,94000,Albuterol,3,,,
lisa.white@email.com,white2020,Lisa,White,1982-09-05,555-213-4565,Native American,"64 Highland Road, Wooster, OH 44691",Kaiser Permanente,112000,None,5,,,
mark.green@email.com,greenmark,Mark,Green,1979-05-14,555-789-3210,White,"962 N. Courtland Street, Dayton, OH 45420",Cigna,85000,Simvastatin,2,,,
chloe.tan@email.com,chloetan1,Chloe,Tan,1993-04-17,555-321-9876,Asian,"381 E. Prairie St., Andover, MA 01810",Blue Cross Blue Shield Association (BCBSA),29000,None,4,,,
ethan.gray@email.com,grayethan,Ethan,Gray,1987-11-21,555-123-9870,Caucasian,"8 Cambridge Drive, Bridgeport, CT 06606",Centene Corporation,64000,Ibuprofen,1,,,
sophia.davis@email.com,sdavis89,Sophia,Davis,1991-08-02,555-654-3214,Hispanic,"9261 Division Rd., Port Huron, MI 48060",Molina Healthcare,126000,None,6,,,
michael.brown@email.com,mbrown89,Michael,Brown,1985-06-15,555-456-7890,Caucasian,"671 West Pierce Street, Fort Wayne, IN 46804",Health Care Service Corporation (HCSC),24000,"Acetaminophen, Ibuprofen",3,,,
lisa.white@email.com,lwhite2022,Lisa,White,1992-09-25,555-987-6543,Hispanic,"577 University Ave., Lansdowne, PA 19050",Blue Cross Blue Shield Association (BCBSA),24000,"Amoxicillin, Azithromycin",3,,,
james.johnson@email.com,jjohnson77,James,Johnson,1980-04-10,555-123-4567,African-American,"155 Buttonwood St., Findlay, OH 45840",Kaiser Permanente,228000,"Lisinopril, Amlodipine",4,,,
emily.davis@email.com,edavis88,Emily,Davis,1995-08-19,555-321-9876,Asian,"48 W. Vale Street, Saint Cloud, MN 56301",Aetna (a subsidiary of CVS Health),50000,"Metformin, Glipizide",2,,,
david.martinez@email.com,dmartinez45,David,Martinez,1978-02-26,555-654-1234,Hispanic,"9450 Williams St., Grosse Pointe, MI 48236",Molina Healthcare,120000,"Simvastatin, Atorvastatin",5,,,
sarah.lee@email.com,sarahtlee90,Sarah,Lee,1989-11-30,555-456-1230,Caucasian,"587 Delaware Avenue, Greenwood, SC 29646",Health Care Service Corporation (HCSC),48000,"Albuterol, Fluticasone",1,,,
daniel.wilson@email.com,dwilson2021,Daniel,Wilson,1993-05-17,555-789-0123,African-American,"52 North Ave., Mount Laurel, NJ 08054",UnitedHealth Group,125000,"Omeprazole, Ranitidine",6,,,
jessica.taylor@email.com,jtaylor99,Jessica,Taylor,1987-07-24,555-321-4567,Asian,"10 Oak Drive, East Meadow, NY 11554",Cigna,26000,"Sertraline, Fluoxetine",2,,,
william.moore@email.com,wmoore76,William,Moore,1976-03-11,555-654-7891,Caucasian,"188 Cedar St., Brainerd, MN 56401","Anthem, Inc.",56000,"Losartan, Hydrochlorothiazide",3,,,
laura.jackson@email.com,ljackson85,Laura,Jackson,1985-12-01,555-987-3210,Hispanic,"430 Bank Street, Aliquippa, PA 15001",Humana,66000,"Gabapentin, Pregabalin",4,,,
anthony.hall@email.com,ahall2020,Anthony,Hall,1990-03-22,555-234-5678,Caucasian,"36 Carpenter Ave., Yuma, AZ 85365",Centene Corporation,118000,"Warfarin, Apixaban",5,,,
karen.wright@email.com,kwright91,Karen,Wright,1986-07-18,555-345-6789,African-American,"186 SE. Marshall Street, Montgomery Village, MD 20886",Kaiser Permanente,233000,"Insulin Glargine, Metformin",1,,,
brian.hernandez@email.com,bhernandez92,Brian,Hernandez,1983-10-05,555-456-7891,Hispanic,"468 Forest Lane, Hackettstown, NJ 07840",Molina Healthcare,65000,"Levothyroxine, Liothyronine",6,,,
nicole.lopez@email.com,nlopez93,Nicole,Lopez,1991-05-14,555-567-8910,Hispanic,"9590 Harvey Street, North Attleboro, MA 02760",Health Care Service Corporation (HCSC),136000,"Prednisone, Methylprednisolone",4,,,
kevin.garcia@email.com,kgarcia94,Kevin,Garcia,1987-01-30,555-678-9101,Asian,"7872 N. Glendale Lane, Hoffman Estates, IL 60169",UnitedHealth Group,146000,"Montelukast, Zafirlukast",2,,,
jessica.clark@email.com,jclark95,Jessica,Clark,1989-04-26,555-789-1011,Caucasian,"9046 East Clay Ave., Osseo, MN 55311",Aetna (a subsidiary of CVS Health),49000,"Venlafaxine, Duloxetine",3,,,
matthew.rodriguez@email.com,mrodriguez96,Matthew,Rodriguez,1982-09-09,555-890-1112,Hispanic,"7258 East Cross Dr., Kalamazoo, MI 49009",Humana,103000,"Furosemide, Spironolactone",5,,,
ashley.lewis@email.com,alewis97,Ashley,Lewis,1994-12-16,555-901-1113,African-American,"7051 West Arrowhead St., Cumberland, RI 02864","Anthem, Inc.",3000,"Tamsulosin, Finasteride",1,,,
chris.walker@email.com,cwalker98,Chris,Walker,1979-08-25,555-012-1114,Caucasian,"8914 N. Glen Creek Street, Traverse City, MI 49684",Cigna,11000,"Esomeprazole, Pantoprazole",6,,,
stephanie.allen@email.com,sallen99,Stephanie,Allen,1992-11-01,555-123-1115,Asian,"702 Ketch Harbour Drive, Shelton, CT 06484",Blue Cross Blue Shield Association (BCBSA),70000,"Clopidogrel, Ticagrelor",2,,,
gregory.young@email.com,gyoung2000,Gregory,Young,1988-05-20,555-234-1116,Caucasian,"52 West Somerset Dr., Greensboro, NC 27405",Molina Healthcare,95000,"Rivaroxaban, Dabigatran",4,,,
sandra.hernandez@email.com,shernandez01,Sandra,Hernandez,1985-02-14,555-345-1117,Hispanic,"264 Branch Street, Waltham, MA 02453",Centene Corporation,48000,"Sitagliptin, Saxagliptin",3,,,
douglas.king@email.com,dking02,Douglas,King,1980-07-07,555-456-1118,African-American,"8752 Mountainview St., Des Plaines, IL 60016",Health Care Service Corporation (HCSC),184000,"Clonazepam, Lorazepam",5,,,
melissa.wright@email.com,mwright03,Melissa,Wright,1993-10-28,555-567-1119,Caucasian,"4 Wakehurst St., Evanston, IL 60201",Aetna (a subsidiary of CVS Health),34000,"Bupropion, Varenicline",1,,,
joshua.lopez@email.com,jlopez04,Joshua,Lopez,1995-03-15,555-678-1120,Hispanic,"7650 West Glen Eagles Ave., Eastpointe, MI 48021",UnitedHealth Group,61000,"Cetirizine, Loratadine",6,,,
heather.garcia@email.com,hgarcia05,Heather,Garcia,1989-06-04,555-789-1121,Asian,"104 S. Pilgrim Drive, Schenectady, NY 12302","Anthem, Inc.",23000,"Memantine, Donepezil",4,,,
scott.clark@email.com,sclark06,Scott,Clark,1981-11-22,555-890-1122,Caucasian,"727 N. Marconi Court, Elk Grove Village, IL 60007",Cigna,135000,"Sildenafil, Tadalafil",2,,,
erica.rodriguez@email.com,erodriguez07,Erica,Rodriguez,1977-04-10,555-901-1123,Hispanic,"9597 Paris Hill St., Grayslake, IL 60030",Humana,32000,"Tramadol, Oxycodone",3,,,
jeffrey.lewis@email.com,jlewis08,Jeffrey,Lewis,1984-08-31,555-012-1124,African-American,"93 Vermont Drive, Dawsonville, GA 30534",Blue Cross Blue Shield Association (BCBSA),112000,"Calcium Carbonate, Vitamin D",5,,,
kimberly.walker@email.com,kwalker09,Kimberly,Walker,1990-01-19,555-123-1125,Caucasian,"32 Pine St., Sacramento, CA 95820",Molina Healthcare,49000,"Amphetamine, Methylphenidate",1,,,
elizabeth.martin@email.com,emartin10,Elizabeth,Martin,1990-02-14,555-131-2125,Caucasian,"651 South Brickell St., Naples, FL 34116",Kaiser Permanente,15000,"Rosuvastatin, Pravastatin",6,,,
david.anderson@email.com,danderson11,David,Anderson,1993-08-22,555-141-3126,Hispanic,"7853 Water Avenue, Oak Lawn, IL 60453",Health Care Service Corporation (HCSC),122000,"Ethinyl Estradiol, Levonorgestrel",4,,,
maria.thomas@email.com,mthomas12,Maria,Thomas,1992-05-06,555-151-4127,Hispanic,"7537 Van Dyke Ave., Naugatuck, CT 06770",Centene Corporation,41000,"Ciprofloxacin, Levofloxacin",3,,,
charles.jackson@email.com,cjackson13,Charles,Jackson,1987-03-17,555-161-5128,African-American,"13 Vernon Rd., Springboro, OH 45066",UnitedHealth Group,6000,"Diclofenac, Naproxen",5,,,
cynthia.moore@email.com,cmoore14,Cynthia,Moore,1989-11-30,555-171-6129,Asian,"876 Berkshire St., Oxon Hill, MD 20745","Anthem, Inc.",13000,"Lithium, Valproate",2,,,
joseph.taylor@email.com,jtaylor15,Joseph,Taylor,1984-09-05,555-181-7130,Caucasian,"84 Glen Ridge Lane, Franklin, MA 02038",Molina Healthcare,132000,"Hydroxyzine, Diphenhydramine",6,,,
sarah.lee@email.com,slee16,Sarah,Lee,1991-07-20,555-191-8131,Asian,"91 Goldfield Lane, Palm City, FL 34990",Cigna,26000,"Enoxaparin, Fondaparinux",1,,,
ryan.wilson@email.com,rwilson17,Ryan,Wilson,1985-10-11,555-201-9132,Caucasian,"7882 Arlington St., Howard Beach, NY 11414",Blue Cross Blue Shield Association (BCBSA),24000,"Risperidone, Quetiapine",3,,,
laura.harris@email.com,lharris18,Laura,Harris,1978-12-19,555-211-0133,African-American,"73 Surrey Ave., Roseville, MI 48066",Health Care Service Corporation (HCSC),21000,"Triamcinolone, Hydrocortisone",4,,,
kevin.martin@email.com,kmartin19,Kevin,Martin,1980-01-29,555-221-1134,Caucasian,"9564 Prince Ave., Hephzibah, GA 30815",Humana,58000,"Pioglitazone, Rosiglitazone",2,,,
diana.evans@email.com,devans20,Diana,Evans,1995-04-15,555-231-2135,Hispanic,"821 W. Brown Street, Hinesville, GA 31313",Kaiser Permanente,56000,"Fluticasone, Budesonide",5,,,
brian.white@email.com,bwhite21,Brian,White,1989-06-24,555-241-3136,Caucasian,"678 Mountainview Drive, Iowa City, IA 52240",Aetna (a subsidiary of CVS Health),57000,"Aspirin, Clopidogrel",1,,,
julie.clark@email.com,jclark22,Julie,Clark,1986-08-03,555-251-4137,Asian,"9781 53rd Dr., Alabaster, AL 35007",Centene Corporation,155000,"Nitroglycerin, Isosorbide",6,,,
gary.thomas@email.com,gthomas23,Gary,Thomas,1982-09-12,555-261-5138,Caucasian,"17 Bridgeton Drive, Rockville, MD 20850",UnitedHealth Group,43000,"Erythromycin, Clarithromycin",3,,,
amanda.jackson@email.com,ajackson24,Amanda,Jackson,1983-11-21,555-271-6139,Hispanic,"51 W. Lake View Dr., Fitchburg, MA 01420","Anthem, Inc.",126000,"Phenylephrine, Pseudoephedrine",2,,,
james.taylor@email.com,jtaylor25,James,Taylor,1976-12-30,555-281-7140,African-American,"88 W. Vine Road, Beckley, WV 25801",Blue Cross Blue Shield Association (BCBSA),64000,"Tiotropium, Ipratropium",4,,,
patricia.wilson@email.com,pwilson26,Patricia,Wilson,1989-02-08,555-291-8141,Caucasian,"9410 Newcastle Street, Butte, MT 59701",Cigna,62000,"Levofloxacin, Moxifloxacin",5,,,
daniel.harris@email.com,dharris27,Daniel,Harris,1988-03-18,555-301-9142,Hispanic,"11 Selby Street, New Baltimore, MI 48047",Health Care Service Corporation (HCSC),15000,"Digoxin, Amiodarone",1,,,
nancy.martin@email.com,nmartin28,Nancy,Martin,1994-05-27,555-311-0143,Asian,"651 Oakwood Court, Hackensack, NJ 07601",Molina Healthcare,9000,"Methotrexate, Cyclosporine",6,,,
jason.evans@email.com,jevans29,Jason,Evans,1982-07-06,555-321-1144,Caucasian,"7197 Dogwood Lane, West Hempstead, NY 11552",Humana,81000,"Tacrolimus, Sirolimus",3,,,
linda.white@email.com,lwhite30,Linda,White,1981-08-15,555-331-2145,African-American,"881 North Circle, Elizabeth, NJ 07202",Kaiser Permanente,47000,"Sumatriptan, Rizatriptan",4,,,
robert.clark@email.com,rclark31,Robert,Clark,1983-09-23,555-341-3146,Hispanic,"9999 South Orchard St., Acworth, GA 30101",Centene Corporation,144000,"Doxycycline, Minocycline",2,,,
michelle.thomas@email.com,mthomas32,Michelle,Thomas,1984-10-02,555-351-4147,Caucasian,"264 Park Ave., Bel Air, MD 21014",Aetna (a subsidiary of CVS Health),49000,"Olanzapine, Clozapine",5,,,
steven.jackson@email.com,sjackson33,Steven,Jackson,1978-11-10,555-361-5148,Asian,"12 W. Strawberry St., Ocean Springs, MS 39564",UnitedHealth Group,88000,"Terbinafine, Clotrimazole",1,,,
lisa.taylor@email.com,ltaylor34,Lisa,Taylor,1987-01-19,555-371-6149,Hispanic,"64 Bayport Street, Warminster, PA 18974",Blue Cross Blue Shield Association (BCBSA),38000,"Acyclovir, Valacyclovir",6,,,
mark.wilson@email.com,mwilson35,Mark,Wilson,1989-02-27,555-381-7150,Caucasian,"799 University Road, Sewell, NJ 08080",Cigna,19000,"Adalimumab, Infliximab",3,,,
jennifer.harris@email.com,jharris36,Jennifer,Harris,1985-04-08,555-391-8151,African-American,"24 Sleepy Hollow Court, Waterloo, IA 50701","Anthem, Inc.",5000,"Ibandronate, Alendronate",4,,,
andrew.martin@email.com,amartin37,Andrew,Martin,1980-05-17,555-401-9152,Asian,"77 West Vernon Rd., East Lansing, MI 48823",Molina Healthcare,133000,"Cyclobenzaprine, Methocarbamol",2,,,
thomas.king@email.com,tking39,Thomas,King,1993-06-07,555-412-9253,Caucasian,"8 W. Armstrong Street, Miami, FL 33125",Health Care Service Corporation (HCSC),27000,"Aripiprazole, Ziprasidone",5,,,
emma.hall@email.com,ehall40,Emma,Hall,1991-09-15,555-423-9354,Hispanic,"7563 East Vale Drive, Lancaster, NY 14086",Centene Corporation,11000,"Loperamide, Bismuth Subsalicylate",1,,,
christopher.scott@email.com,cscott41,Christopher,Scott,1988-07-23,555-434-9455,African-American,"17 Madison Drive, Littleton, CO 80123",Humana,35000,"Meclizine, Scopolamine",6,,,
olivia.young@email.com,oyoung42,Olivia,Young,1987-12-01,555-445-9556,Asian,"791 Cottage Rd., Butler, PA 16001",Kaiser Permanente,39000,"Propranolol, Atenolol",4,,,
joshua.adams@email.com,jadams43,Joshua,Adams,1984-10-10,555-456-9657,Caucasian,"9861 Hilldale Dr., Twin Falls, ID 83301",UnitedHealth Group,16000,"Zolpidem, Eszopiclone",3,,,
nicole.campbell@email.com,ncampbell44,Nicole,Campbell,1986-03-18,555-467-9758,Hispanic,"194 Willow St., Massapequa, NY 11758",Aetna (a subsidiary of CVS Health),92000,"Finasteride, Dutasteride",5,,,
brandon.phillips@email.com,bphillips45,Brandon,Phillips,1982-05-27,555-478-9859,African-American,"7609 Hanover Lane, Camas, WA 98607",Cigna,5000,"Ranitidine, Famotidine",2,,,
katherine.turner@email.com,kturner46,Katherine,Turner,1990-08-04,555-489-9950,Caucasian,"9648 Campfire Road, Covington, GA 30014",Molina Healthcare,47000,"Insulin Aspart, Insulin Lispro",6,,,
zachary.parker@email.com,zparker47,Zachary,Parker,1989-11-12,555-490-0051,Asian,"343 6th Avenue, Apt J, San Diego, CA 92111","Anthem, Inc.",119000,"Nifedipine, Verapamil",1,,,
stephanie.collins@email.com,scollins48,Stephanie,Collins,1992-01-21,555-501-0152,Hispanic,"7250 West Cedarwood Ave., Scotch Plains, NJ 07076",Blue Cross Blue Shield Association (BCBSA),8000,"Timolol, Latanoprost",4,,,
kyle.lee@email.com,klee49,Kyle,Lee,1994-04-01,555-512-0253,Caucasian,"401 Hill Field Ave., Moorhead, MN 56560",Centene Corporation,67000,"Ketoconazole, Fluconazole",3,,,
heather.edwards@email.com,hedwards50,Heather,Edwards,1987-06-10,555-523-0354,African-American,"62 Old Poor House St., Lawrence, MA 01841",Health Care Service Corporation (HCSC),22000,"Levodopa, Carbidopa",2,,,
eric.mitchell@email.com,emitchell51,Eric,Mitchell,1991-08-19,555-534-0455,Hispanic,"313 Crescent Court, Pearl, MS 39208",Humana,75000,"Metoclopramide, Domperidone",5,,,
megan.perez@email.com,mperez52,Megan,Perez,1985-10-28,555-545-0556,Asian,"588 Liberty Street, Lutherville Timonium, MD 21093",UnitedHealth Group,70000,"Chlorthalidone, Indapamide",1,,,
jeffery.nelson@email.com,jnelson53,Jeffrey,Nelson,1983-01-06,555-556-0657,Caucasian,"8690 Mulberry St., Upland, CA 91784",Kaiser Permanente,13000,"Atomoxetine, Guanfacine",6,,,
lauren.roberts@email.com,lroberts54,Lauren,Roberts,1988-03-17,555-567-0758,Hispanic,"287 Peninsula Avenue, Greenville, NC 27834",Cigna,54000,"Diltiazem, Felodipine",4,,,
aaron.carter@email.com,acarter55,Aaron,Carter,1990-05-26,555-578-0859,African-American,"162 Williams Dr., Front Royal, VA 22630","Anthem, Inc.",14000,"Etanercept, Ustekinumab",3,,,
kelly.phillips@email.com,kphillips56,Kelly,Phillips,1989-08-04,555-589-0950,Caucasian,"7276 W. Manchester Avenue, Nashua, NH 03060",Blue Cross Blue Shield Association (BCBSA),10000,"Galantamine, Rivastigmine",5,,,
jacob.moore@email.com,jmoore57,Jacob,Moore,1982-10-13,555-590-1051,Asian,"8040 Sleepy Hollow St., Lebanon, PA 17042",Health Care Service Corporation (HCSC),16000,"Ipratropium, Albuterol",2,,,
rachel.anderson@email.com,randerson58,Rachel,Anderson,1996-12-22,555-601-1152,Hispanic,"417 West Hamilton Rd., Blacksburg, VA 24060",Molina Healthcare,94000,"Leflunomide, Sulfasalazine",6,,,
tyler.thompson@email.com,tthompson59,Tyler,Thompson,1995-03-02,555-612-1253,Caucasian,"840 Oak Meadow St., Evans, GA 30809",Centene Corporation,23000,"Mesalamine, Balsalazide",1,,,
diana.murphy@email.com,dmurphy60,Diana,Murphy,1984-05-11,555-623-1354,African-American,"35 Smoky Hollow Street, Prattville, AL 36067",Humana,23000,"Nebivolol, Carvedilol",4,,,
jeremy.gonzalez@email.com,jgonzalez61,Jeremy,Gonzalez,1986-07-20,555-634-1455,Hispanic,"60 Griffin Drive, Phoenixville, PA 19460",Aetna (a subsidiary of CVS Health),11000,"Ondansetron, Granisetron",3,,,
rebecca.green@email.com,rgreen62,Rebecca,Green,1989-09-29,555-645-1556,Asian,,,93000,"Phenazopyridine, Methenamine",4,,,
brian.ellis@email.com,bellis63,Brian,Ellis,1987-12-08,555-656-1657,Caucasian,,,48000,,,,,
,,,,,,,,,5000,,,,,
,,,,,,,,,12000,,,,,
,,,,,,,,,29000,,,,,
,,,,,,,,,17000,,,,,
,,,,,,,,,116000,,,,,
,,,,,,,,,46000,,,,,
,,,,,,,,,48000,,,,,
,,,,,,,,,1000,,,,,
,,,,,,,,,113000,,,,,
,,,,,,,,,29000,,,,,
,,,,,,,,,102000,,,,,
,,,,,,,,,144000,,,,,
